symbol,action,add_shares,price_run,rationale,prev_shares,target_shares,mu_mean_q,mu_sd_q,run_name,run_ts,target_value_usd,target_weight
AAPL,Keep,0,255.46,"PE_ttm 38.9 vs med 16.5; ROA 0.2% vs med 0.0%; ROE 1.5% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bullish; 3M momentum: 27.85%; RSI14: 74.2; MACD hist: 1.155; mean=0.18, 30d imbalance=0.00 (pos=0, neg=0); implied=-5.37%, rating balance=0.57 (SB=5,B=22,H=15,S=1,SS=1); regime=Mixed, beta_1y=1.25 -> score=-0.10",23,23,-0.013712793424869418,0.15,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,5875.58,0.08039123612686852
ACCO,Keep,0,4.06,"PE_ttm 4.6 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: 16.09%; RSI14: 55.1; MACD hist: -0.000; mean=0.22, 30d imbalance=0.00 (pos=0, neg=0); implied=114.60%, rating balance=1.00 (SB=1,B=1,H=0,S=0,SS=0); regime=Mixed, beta_1y=1.10 -> score=-0.04",0,0,0.21034570414185239,0.15,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,0.0,0.0
ADV,Keep,0,1.56,"ROA 0.0% vs med 0.0%; ROE -0.4% vs med 0.1%; Revenue TTM positive; Trend: neutral; 3M momentum: 16.39%; RSI14: 50.7; MACD hist: -0.020; mean=0.23, 30d imbalance=0.00 (pos=0, neg=0); implied=62.82%, rating balance=0.00 (SB=0,B=0,H=0,S=0,SS=0); regime=Mixed, beta_1y=1.53 -> score=-0.21",0,0,0.12959908406268061,0.02,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,0.0,0.0
ALK,New,19,50.88,"PE_ttm 14.2 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: 10.53%; RSI14: 24.2; MACD hist: -1.118; mean=0.16, 30d imbalance=0.00 (pos=0, neg=0); implied=30.27%, rating balance=0.93 (SB=4,B=9,H=1,S=0,SS=0); regime=Mixed, beta_1y=1.57 -> score=-0.23",0,19,0.068336836836413,0.02,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,966.72,0.013226918157622966
AMRK,Keep,0,26.65,"PE_ttm 22.4 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.0% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: 26.58%; RSI14: 73.2; MACD hist: 0.207; mean=0.20, 30d imbalance=0.00 (pos=0, neg=0); implied=44.65%, rating balance=0.60 (SB=2,B=1,H=2,S=0,SS=0); regime=Mixed, beta_1y=0.70 -> score=0.12",0,0,0.09667815827851789,0.02,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,0.0,0.0
AMTM,Keep,0,22.57,"PE_ttm 14.6 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.0% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: 2.33%; RSI14: 22.4; MACD hist: -0.177; mean=0.25, 30d imbalance=0.00 (pos=0, neg=0); implied=18.85%, rating balance=0.33 (SB=2,B=2,H=4,S=1,SS=0); No beta data",0,0,0.04412154678115909,0.02,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,0.0,0.0
AMZN,Keep,0,219.78,"PE_ttm 34.7 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.2% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bullish; 3M momentum: 6.98%; RSI14: 52.7; MACD hist: -0.535; mean=0.22, 30d imbalance=0.00 (pos=0, neg=0); implied=16.29%, rating balance=0.94 (SB=15,B=49,H=4,S=0,SS=0); regime=Mixed, beta_1y=1.32 -> score=-0.13",50,50,0.03845890282942288,0.02,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,10989.0,0.1503543979995436
ARCO,Keep,0,6.92,"PE_ttm 10.7 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.2% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -8.89%; RSI14: 51.6; MACD hist: 0.001; mean=0.14, 30d imbalance=0.00 (pos=0, neg=0); implied=46.20%, rating balance=0.78 (SB=3,B=4,H=2,S=0,SS=0); regime=Mixed, beta_1y=0.67 -> score=0.13",0,0,0.09960157056705521,0.02,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,0.0,0.0
ARDT,Increase,75,13.26,"PE_ttm 7.7 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.2% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: -1.21%; RSI14: 55.1; MACD hist: -0.040; mean=0.22, 30d imbalance=0.00 (pos=0, neg=0); implied=46.43%, rating balance=0.73 (SB=2,B=7,H=1,S=0,SS=1); regime=Mixed, beta_1y=0.65 -> score=0.14",190,265,0.1000400285364671,0.02,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,3513.9,0.048078107118991374
ASIX,Keep,0,19.46,"PE_ttm 6.5 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: -16.28%; RSI14: 39.4; MACD hist: -0.085; mean=0.19, 30d imbalance=0.00 (pos=0, neg=0); implied=40.28%, rating balance=0.00 (SB=0,B=0,H=0,S=0,SS=0); regime=Mixed, beta_1y=1.13 -> score=-0.05",0,0,0.08830186545999452,0.12611040440933424,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,0.0,0.0
ASML,Keep,0,951.52,"PE_ttm 39.9 vs med 16.5; ROA 0.2% vs med 0.0%; ROE 0.6% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bullish; 3M momentum: 17.76%; RSI14: 93.2; MACD hist: 17.162; mean=0.21, 30d imbalance=0.00 (pos=0, neg=0); implied=-9.99%, rating balance=0.59 (SB=4,B=19,H=13,S=1,SS=0); regime=Mixed, beta_1y=1.36 -> score=-0.15",0,0,-0.025956709184648874,0.02,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,0.0,0.0
ATR,Keep,0,132.29,"PE_ttm 22.6 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.2% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -13.75%; RSI14: 35.7; MACD hist: 0.056; mean=0.26, 30d imbalance=0.00 (pos=0, neg=0); implied=33.26%, rating balance=0.86 (SB=2,B=4,H=1,S=0,SS=0); regime=Mixed, beta_1y=0.70 -> score=0.12",0,0,0.07441808992120547,0.11518019467423857,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,0.0,0.0
AVGO,Keep,0,334.53,"PE_ttm 53.9 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.3% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bullish; 3M momentum: 28.44%; RSI14: 65.7; MACD hist: -0.809; mean=0.22, 30d imbalance=0.00 (pos=0, neg=0); implied=9.18%, rating balance=0.91 (SB=7,B=33,H=2,S=0,SS=1); regime=Mixed, beta_1y=1.79 -> score=-0.32",13,13,0.02219220905066721,0.15,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,4348.889999999999,0.05950266065303803
AVNW,Keep,0,22.54,"PE_ttm 7.4 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.0% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bullish; 3M momentum: 2.00%; RSI14: 59.1; MACD hist: 0.091; mean=0.15, 30d imbalance=0.00 (pos=0, neg=0); implied=43.05%, rating balance=1.00 (SB=1,B=6,H=0,S=0,SS=0); regime=Mixed, beta_1y=0.88 -> score=0.05",0,0,0.09364120005583709,0.15,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,0.0,0.0
AXON,Keep,0,708.84,"PE_ttm 60.0 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: -2.31%; RSI14: 64.7; MACD hist: 4.138; mean=0.25, 30d imbalance=0.00 (pos=0, neg=0); implied=14.53%, rating balance=0.89 (SB=6,B=10,H=2,S=0,SS=0); regime=Mixed, beta_1y=1.11 -> score=-0.04",2,2,0.03449221780111422,0.02,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,1417.68,0.019397071886067246
BRZE,Keep,0,31.58,"ROA -0.1% vs med 0.0%; ROE -0.2% vs med 0.1%; Revenue TTM positive; Trend: neutral; 3M momentum: 21.96%; RSI14: 72.7; MACD hist: 0.285; mean=0.21, 30d imbalance=0.00 (pos=0, neg=0); implied=38.16%, rating balance=1.00 (SB=7,B=12,H=0,S=0,SS=0); regime=Mixed, beta_1y=1.39 -> score=-0.15",0,0,0.08417006140169514,0.02,RunSept27-Manual-20250927-1339UTC,20250927-1354UTC,0.0,0.0
