symbol,action,add_shares,price_run,rationale,prev_shares,target_shares,mu_mean_q,mu_sd_q,add_value_usd,target_weight
ACCO,New,253,3.95,"PE_ttm 4.6 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: 16.09%; RSI14: 55.1; MACD hist: -0.000; mean=0.22, 30d imbalance=0.00 (pos=0, neg=0); implied=114.60%, rating balance=1.00 (SB=1,B=1,H=0,S=0,SS=0); regime=Mixed, beta_1y=1.10 -> score=-0.04",0,253,0.21034570414185239,0.1380788073787406,999.35,0.04071700388692868
AHCO,New,109,9.15,"PE_ttm 14.3 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: 1.03%; RSI14: 44.5; MACD hist: -0.046; mean=0.23, 30d imbalance=0.00 (pos=0, neg=0); implied=48.25%, rating balance=0.75 (SB=1,B=5,H=2,S=0,SS=0); regime=Mixed, beta_1y=0.90 -> score=0.04",0,109,0.10343725060489972,0.05520973144514059,997.35,0.04063551691262152
ARDT,Increase,78,12.78,"PE_ttm 7.7 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.2% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: -1.21%; RSI14: 55.1; MACD hist: -0.040; mean=0.22, 30d imbalance=0.00 (pos=0, neg=0); implied=46.43%, rating balance=0.73 (SB=2,B=7,H=1,S=0,SS=1); regime=Mixed, beta_1y=0.65 -> score=0.14",190,268,0.1000400285364671,0.03183191800878479,996.8399999999999,0.04061473773417319
BILL,New,21,46.14,"PE_ttm 33.2 vs med 16.5; ROA -0.0% vs med 0.0%; ROE 0.0% vs med 0.1%; Revenue TTM positive; Trend: neutral; 3M momentum: 17.89%; RSI14: 71.9; MACD hist: 0.258; mean=0.24, 30d imbalance=0.00 (pos=0, neg=0); implied=10.43%, rating balance=0.50 (SB=3,B=9,H=12,S=0,SS=0); regime=Mixed, beta_1y=1.71 -> score=-0.29",0,21,0.025123784589262677,0.02,968.94,0.03947799444258836
CLDX,New,42,23.61,"ROA -0.2% vs med 0.0%; ROE -0.3% vs med 0.1%; Revenue TTM positive; Trend: bullish; 3M momentum: 14.83%; RSI14: 65.9; MACD hist: 0.101; mean=0.10, 30d imbalance=0.00 (pos=0, neg=0); implied=126.27%, rating balance=0.87 (SB=2,B=11,H=2,S=0,SS=0); regime=Mixed, beta_1y=1.09 -> score=-0.04",0,42,0.22646554078188896,0.021441441441441292,991.62,0.04040205673123151
CRM,New,3,256.56,"PE_ttm 23.4 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -7.92%; RSI14: 47.1; MACD hist: 0.299; Empty news feed; implied=34.04%, rating balance=0.76 (SB=9,B=34,H=11,S=0,SS=1); regime=Mixed, beta_1y=1.06 -> score=-0.03",0,3,0.07598731835027683,0.04321623887019461,769.6800000000001,0.0313594471923663
CRNT,New,401,2.49,"PE_ttm 9.1 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: 0.41%; RSI14: 85.1; MACD hist: 0.067; mean=0.25, 30d imbalance=0.00 (pos=0, neg=0); implied=92.31%, rating balance=1.00 (SB=1,B=4,H=0,S=0,SS=0); regime=Mixed, beta_1y=1.48 -> score=-0.19",0,401,0.17760370692481797,0.02,998.4900000000001,0.040681964487976605
CTRA,Increase,41,24.06,"PE_ttm 11.1 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: -13.84%; RSI14: 29.8; MACD hist: -0.096; mean=0.19, 30d imbalance=0.00 (pos=0, neg=0); implied=43.20%, rating balance=0.80 (SB=7,B=13,H=5,S=0,SS=0); regime=Mixed, beta_1y=0.70 -> score=0.12",170,211,0.09392709734709204,0.03884611202360996,986.4599999999999,0.040191820337519044
DBRG,New,88,11.255,"PE_ttm 60.0 vs med 16.5; ROA -0.0% vs med 0.0%; ROE 0.0% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bullish; 3M momentum: 19.15%; RSI14: 68.2; MACD hist: 0.055; mean=0.20, 30d imbalance=0.00 (pos=0, neg=0); implied=33.93%, rating balance=0.89 (SB=3,B=5,H=1,S=0,SS=0); regime=Mixed, beta_1y=1.61 -> score=-0.24",0,88,0.07576722608363995,0.04793995859213205,990.44,0.040353979416390295
DDI,New,103,9.68,"PE_ttm 4.4 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -1.57%; RSI14: 30.8; MACD hist: -0.000; mean=0.28, 30d imbalance=0.00 (pos=0, neg=0); implied=104.79%, rating balance=1.00 (SB=0,B=4,H=0,S=0,SS=0); regime=Mixed, beta_1y=0.46 -> score=0.22",0,103,0.19626038239382493,0.024655172413793034,997.04,0.04062288643160391
